path;link;size;format;origem
Bratz - Rock Angelz (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bratz%20-%20Rock%20Angelz%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Buffy the Vampire Slayer - Chaos Bleeds (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Buffy%20the%20Vampire%20Slayer%20-%20Chaos%20Bleeds%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Burnout (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Burnout%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Burnout 2 - Point of Impact (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Burnout%202%20-%20Point%20of%20Impact%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Bust-A-Move 3000 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Bust-A-Move%203000%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Cabela's Big Game Hunter 2005 Adventures (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Cabela%27s%20Big%20Game%20Hunter%202005%20Adventures%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Cabela's Dangerous Hunts 2 (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Cabela%27s%20Dangerous%20Hunts%202%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Cabela's Outdoor Adventures (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Cabela%27s%20Outdoor%20Adventures%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Call of Duty - Finest Hour (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Call%20of%20Duty%20-%20Finest%20Hour%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Call of Duty 2 - Big Red One (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Call%20of%20Duty%202%20-%20Big%20Red%20One%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Capcom vs. SNK 2 EO (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Capcom%20vs.%20SNK%202%20EO%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Carmen Sandiego - The Secret of the Stolen Drums (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Carmen%20Sandiego%20-%20The%20Secret%20of%20the%20Stolen%20Drums%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Casper - Spirit Dimensions (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Casper%20-%20Spirit%20Dimensions%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Catwoman (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Catwoman%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Cel Damage (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Cel%20Damage%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Chaos Field (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Chaos%20Field%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Charlie and the Chocolate Factory (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Charlie%20and%20the%20Chocolate%20Factory%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Charlie's Angels (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Charlie%27s%20Angels%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Chibi-Robo! Plug into Adventure! (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Chibi-Robo%21%20Plug%20into%20Adventure%21%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Chronicles%20of%20Narnia%2C%20The%20-%20The%20Lion%2C%20the%20Witch%20and%20the%20Wardrobe%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
City Racer (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/City%20Racer%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Codename - Kids Next Door - Operation - V.I.D.E.O.G.A.M.E. (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Codename%20-%20Kids%20Next%20Door%20-%20Operation%20-%20V.I.D.E.O.G.A.M.E.%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Conflict - Desert Storm (v1.00)(USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Conflict%20-%20Desert%20Storm%20%28v1.00%29%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Conflict - Desert Storm (v1.01)(USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Conflict%20-%20Desert%20Storm%20%28v1.01%29%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Conflict - Desert Storm II - Back to Baghdad (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Conflict%20-%20Desert%20Storm%20II%20-%20Back%20to%20Baghdad%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Crash Bandicoot - The Wrath of Cortex (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Crash%20Bandicoot%20-%20The%20Wrath%20of%20Cortex%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Crash Nitro Kart (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Crash%20Nitro%20Kart%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
Crash Tag Team Racing (USA).iso;https://archive.org/download/efgamecubeusa/Game%20Cube%20USA/Crash%20Tag%20Team%20Racing%20%28USA%29.iso;1.4G;zip;https://archive.org/download/efgamecubeusa
