path;link;size;format;origem
The Amazing Spider-Man (USA).zip;https://archive.org/download/3dscia_202310/The Amazing Spider-Man (USA).zip;1.55 GiB;zip;archive-3dscia_202310
The Amazing Spider-Man 2 (USA).zip;https://archive.org/download/3dscia_202310/The Amazing Spider-Man 2 (USA).zip;837.15 MiB;zip;archive-3dscia_202310
The LEGO Movie Videogame (USA).zip;https://archive.org/download/3dscia_202310/The LEGO Movie Videogame (USA).zip;413.63 MiB;zip;archive-3dscia_202310
The Legend of Zelda - A Link Between Worlds (USA).zip;https://archive.org/download/3dscia_202310/The Legend of Zelda - A Link Between Worlds (USA).zip;679.28 MiB;zip;archive-3dscia_202310
The Legend of Zelda - Majora's Mask 3D (USA) (Rev 1).zip;https://archive.org/download/3dscia_202310/The Legend of Zelda - Majora's Mask 3D (USA) (Rev 1).zip;625.48 MiB;zip;archive-3dscia_202310
The Legend of Zelda - Ocarina of Time 3D (USA) (Rev 1).zip;https://archive.org/download/3dscia_202310/The Legend of Zelda - Ocarina of Time 3D (USA) (Rev 1).zip;455.08 MiB;zip;archive-3dscia_202310
The World Ends with You (USA).zip;https://archive.org/download/3dscia_202310/The World Ends with You (USA).zip;72.48 MiB;zip;archive-3dscia_202310
Tomodachi Life (USA).zip;https://archive.org/download/3dscia_202310/Tomodachi Life (USA).zip;395.27 MiB;zip;archive-3dscia_202310
Transformers - Dark of the Moon - Stealth Force Edition (USA).zip;https://archive.org/download/3dscia_202310/Transformers - Dark of the Moon - Stealth Force Edition (USA).zip;567.34 MiB;zip;archive-3dscia_202310
Transformers - Rise of the Dark Spark (USA).zip;https://archive.org/download/3dscia_202310/Transformers - Rise of the Dark Spark (USA).zip;164.76 MiB;zip;archive-3dscia_202310
Xenoblade Chronicles 3D (USA).zip;https://archive.org/download/3dscia_202310/Xenoblade Chronicles 3D (USA).zip;3.52 GiB;zip;archive-3dscia_202310
Yo-Kai Watch (USA).zip;https://archive.org/download/3dscia_202310/Yo-Kai Watch (USA).zip;829.06 MiB;zip;archive-3dscia_202310
Yo-Kai Watch 2 Psychic Specters (USA).zip;https://archive.org/download/3dscia_202310/Yo-Kai Watch 2 Psychic Specters (USA).zip;2.57 GiB;zip;archive-3dscia_202310
Yo-Kai Watch 3 (USA).zip;https://archive.org/download/3dscia_202310/Yo-Kai Watch 3 (USA).zip;3.30 GiB;zip;archive-3dscia_202310
Yo-Kai Watch Blasters - White Dog Squad (USA).zip;https://archive.org/download/3dscia_202310/Yo-Kai Watch Blasters - White Dog Squad (USA).zip;1.66 GiB;zip;archive-3dscia_202310
Yoshi's Island - Super Mario Advance 3 (USA) (GBA VC).zip;https://archive.org/download/3dscia_202310/Yoshi's Island - Super Mario Advance 3 (USA) (GBA VC).zip;4.90 MiB;zip;archive-3dscia_202310
Yu-Gi-Oh! ZEXAL World Duel Carnival (USA).zip;https://archive.org/download/3dscia_202310/Yu-Gi-Oh! ZEXAL World Duel Carnival (USA).zip;808.99 MiB;zip;archive-3dscia_202310
Zero Escape- Virtue's Last Reward (USA).zip;https://archive.org/download/3dscia_202310/Zero Escape- Virtue's Last Reward (USA).zip;822.15 MiB;zip;archive-3dscia_202310
