nome;preco;url;vendidos;estrelas;qtd-perguntas;data-ultima-pergunta;freteGratis;condicao
Relógio De Pulso Masculino - Estilo Militar - Quatz;78.99;https://produto.mercadolivre.com.br/MLB-943881398-relogio-de-pulso-masculino-estilo-militar-quatz-_JM#position=34&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Militar Gemius Army Azul Exército - Frete Grátis!!!;84.99;https://produto.mercadolivre.com.br/MLB-988064584-relogio-militar-gemius-army-azul-exercito-frete-gratis-_JM#position=35&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;True;Novo
Relógio Militar Gemius Army Sport Exército;120.0;https://produto.mercadolivre.com.br/MLB-1035150451-relogio-militar-gemius-army-sport-exercito-_JM#position=36&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;True;Novo
Relógio Militar Importado Masculino Maior Lance Leva(leilão);54.0;https://produto.mercadolivre.com.br/MLB-1114859493-relogio-militar-importado-masculino-maior-lance-levaleilo-_JM#position=37&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Masculino Gemius Swiss Army Exército Suíço( Leilão );50.0;https://produto.mercadolivre.com.br/MLB-1114859939-relogio-masculino-gemius-swiss-army-exercito-suico-leilo--_JM#position=38&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio De Alta Qualidade Dos Homens E Das Mulhres Excelente;40.0;https://produto.mercadolivre.com.br/MLB-1159506796-relogio-de-alta-qualidade-dos-homens-e-das-mulhres-excelente-_JM#position=39&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relogio Militar Gemius Army;39.99;https://produto.mercadolivre.com.br/MLB-1438429601-relogio-militar-gemius-army-_JM#position=40&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
Relógio Gemius Army Original Pulseira Azul Fundo Azul;75.8;https://produto.mercadolivre.com.br/MLB-1173788276-relogio-gemius-army-original-pulseira-azul-fundo-azul-_JM#position=41&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;1;;0;;True;Novo
Relógio Gemius Army Original Pulseira Verde Fundo Verde;75.8;https://produto.mercadolivre.com.br/MLB-1173786378-relogio-gemius-army-original-pulseira-verde-fundo-verde-_JM#position=42&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;1;;0;;True;Novo
Relógio Brad Pitt Fury;38.0;https://produto.mercadolivre.com.br/MLB-1424039937-relogio-brad-pitt-fury-_JM#position=43&type=item&tracking_id=22f10fe1-58cc-4ef8-858a-26b3c39b8787;;;0;;False;Novo
